thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.15462962962962962],[-0.3435185185185185],[1],[0],[0],[3.808847500011325],['target'],0,0,0,0,0.10237169999163598,,10,0.07205710001289845,0.10237169999163598,0.10237169999163598,0.07158020010683686,3.881751299952157,[0.15462962962962962],[-0.3435185185185185],[1],[0],[0],[3.808847500011325],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
1,0,1,[-0.3851851851851852],[0.43703703703703706],[1],[0],[0],[2.4758599000051618],['target'],1,0,1,0,3.933626899961382,,5,3.9214037000201643,3.933626899961382,3.933626899961382,0.039020500029437244,6.3982003999408334,[-0.3851851851851852],[0.43703703703703706],[1],[0],[0],[2.4758599000051618],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
2,0,2,[-0.37037037037037035],[-0.10092592592592593],[1],[0],[0],[2.135362399974838],['target'],2,0,2,0,6.539549099979922,,10,6.509059099946171,6.539549099979922,6.539549099979922,0.11034560005646199,8.645347299985588,[-0.37037037037037035],[-0.10092592592592593],[1],[0],[0],[2.135362399974838],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
3,0,3,[0.3814814814814815],[-0.34629629629629627],[1],[0],[0],[2.5670138000277802],['target'],3,0,3,0,8.757730299956165,,10,8.724239900009707,8.757730299956165,8.757730299956165,0.07845320005435497,11.291978499968536,[0.3814814814814815],[-0.34629629629629627],[1],[0],[0],[2.5670138000277802],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
4,0,4,[-0.021296296296296296],[-0.2101851851851852],[1],[0],[0],[2.786996699986048],['target'],4,0,4,0,11.404543899931014,,10,11.36904170003254,11.404543899931014,11.404543899931014,0.07661710004322231,14.156951099983416,[-0.021296296296296296],[-0.2101851851851852],[1],[0],[0],[2.786996699986048],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
5,0,5,[-0.037037037037037035],[0.28055555555555556],[1],[0],[0],[1.9708029999164864],['target'],5,0,5,0,14.26730339997448,,10,14.233567800023593,14.26730339997448,14.26730339997448,0.07620849995873868,16.205261299968697,[-0.037037037037037035],[0.28055555555555556],[1],[0],[0],[1.9708029999164864],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
6,0,6,[0.07314814814814814],[-0.1925925925925926],[1],[0],[0],[2.457182800048031],['target'],6,0,6,0,16.266806500032544,,5,16.245639299973845,16.266806500032544,16.266806500032544,0.03978380002081394,18.703660500003025,[0.07314814814814814],[-0.1925925925925926],[1],[0],[0],[2.457182800048031],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
7,0,7,[-0.26481481481481484],[0.06851851851851852],[1],[0],[0],[1.572905599954538],['target'],7,0,7,0,18.764724000007845,,5,18.74431530002039,18.764724000007845,18.764724000007845,0.04029949998948723,20.318127600010484,[-0.26481481481481484],[0.06851851851851852],[1],[0],[0],[1.572905599954538],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
8,0,8,[-0.2851851851851852],[0.09166666666666666],[1],[0],[0],[1.5199036999838427],['target'],8,0,8,0,20.428815999999642,,10,20.395707299932837,20.428815999999642,20.428815999999642,0.07722029997967184,21.916405400028452,[-0.2851851851851852],[0.09166666666666666],[1],[0],[0],[1.5199036999838427],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
9,0,9,[-0.13240740740740742],[-0.44351851851851853],[1],[0],[0],[2.207977099926211],['target'],9,0,9,0,21.977833300014026,,5,21.95644849992823,21.977833300014026,21.977833300014026,0.039644000004045665,24.165265599964187,[-0.13240740740740742],[-0.44351851851851853],[1],[0],[0],[2.207977099926211],['target'],0002,001,2025-09-30_11h43.49.670,Visual search main code,2024.2.4,59.955560962780226,2025-09-30 11h44.13.892836 +0530,
