13.8726 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
13.8849 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
15.8020 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000267E09326B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000267E09324D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000267E09EA920>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.8021 	EXP 	window1: backgroundImage = ''
15.8022 	EXP 	window1: backgroundFit = 'none'
16.0093 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.0093 	EXP 	window1: recordFrameIntervals = False
16.1742 	EXP 	window1: recordFrameIntervals = True
16.3577 	EXP 	Screen (0) actual frame rate measured at 60.21Hz
16.3578 	EXP 	window1: recordFrameIntervals = False
21.3632 	INFO 	keyboard.Keyboard is using iohub backend.
21.3633 	INFO 	keyboard.Keyboard is using iohub backend.
21.3633 	EXP 	Delay Discounting Main: status = STARTED
21.3689 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.3997 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0247 	EXP 	Imported Delay Discounting file.xlsx as conditions, 100 conditions, 3 params
0.0264 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 42, 'future_reward': 79, 'delay': 69, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1440 	EXP 	text: height = 0.05
0.1440 	EXP 	text: height = 0.05
0.1440 	EXP 	text: height = 0.05
0.1440 	EXP 	text: text = 'GBP 42 today or GBP 79 after 69 days'
0.1440 	EXP 	Fixation: autoDraw = True
1.0030 	INFO 	Keyboard events cleared
1.0024 	EXP 	text: autoDraw = True
1.1524 	EXP 	Fixation: autoDraw = False
4.3052 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 28, 'future_reward': 72, 'delay': 121, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
4.3134 	DATA 	Keypress: t
4.3165 	EXP 	Fixation: autoDraw = False
4.3165 	EXP 	text: autoDraw = False
4.3165 	EXP 	text: height = 0.05
4.3165 	EXP 	text: height = 0.05
4.3165 	EXP 	text: height = 0.05
4.3165 	EXP 	text: text = 'GBP 28 today or GBP 72 after 121 days'
4.3165 	EXP 	Fixation: autoDraw = True
5.3162 	INFO 	Keyboard events cleared
5.3155 	EXP 	text: autoDraw = True
5.3319 	EXP 	Fixation: autoDraw = False
5.5666 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 26, 'future_reward': 54, 'delay': 198, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
5.5754 	DATA 	Keypress: t
5.5818 	EXP 	Fixation: autoDraw = False
5.5818 	EXP 	text: autoDraw = False
5.5818 	EXP 	text: height = 0.05
5.5818 	EXP 	text: height = 0.05
5.5818 	EXP 	text: height = 0.05
5.5818 	EXP 	text: text = 'GBP 26 today or GBP 54 after 198 days'
5.5818 	EXP 	Fixation: autoDraw = True
6.5814 	INFO 	Keyboard events cleared
6.5808 	EXP 	Fixation: autoDraw = False
6.5808 	EXP 	text: autoDraw = True
6.8656 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 31, 'future_reward': 64, 'delay': 7, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
6.8736 	DATA 	Keypress: t
6.8805 	EXP 	Fixation: autoDraw = False
6.8805 	EXP 	text: autoDraw = False
6.8805 	EXP 	text: height = 0.05
6.8805 	EXP 	text: height = 0.05
6.8805 	EXP 	text: height = 0.05
6.8805 	EXP 	text: text = 'GBP 31 today or GBP 64 after 7 days'
6.8805 	EXP 	Fixation: autoDraw = True
7.3318 	DATA 	Keypress: t
7.7649 	DATA 	Keypress: t
7.8805 	INFO 	Keyboard events cleared
7.8800 	EXP 	Fixation: autoDraw = False
7.8800 	EXP 	text: autoDraw = True
8.1977 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 53, 'future_reward': 101, 'delay': 199, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
8.2047 	DATA 	Keypress: t
8.2127 	EXP 	Fixation: autoDraw = False
8.2127 	EXP 	text: autoDraw = False
8.2127 	EXP 	text: height = 0.05
8.2127 	EXP 	text: height = 0.05
8.2127 	EXP 	text: height = 0.05
8.2127 	EXP 	text: text = 'GBP 53 today or GBP 101 after 199 days'
8.2127 	EXP 	Fixation: autoDraw = True
