reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
42,79,69,0,0,0,t,3.2868199000076856,None,0,0,0,76,0.1439894000068307,,0.1391180000064196,0.1439894000068307,1.0023781000054441,1.0023781000054441,1.1524186000024201,4.305035700002918,t,3.2868199000076856,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
28,72,121,1,1,0,t,0.24554340000031516,None,0,1,1,27,4.3165055999998,,4.312208400006057,4.3165055999998,5.315476900010253,5.315476900010253,5.331920199998422,5.566492500001914,t,0.24554340000031516,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
26,54,198,2,2,0,t,0.2772961999871768,None,0,2,2,14,5.581794199999422,,5.5739790000079665,5.581794199999422,6.580845800010138,6.580845800010138,6.580845800010138,6.865458300002501,t,0.2772961999871768,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
31,64,7,3,3,0,t,0.31634019999182783,None,0,3,3,28,6.880543300008867,,6.872481500002323,6.880543300008867,7.879967700006091,7.879967700006091,7.879967700006091,8.197599300008733,t,0.31634019999182783,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
53,101,199,4,4,0,t,0.21847009999328293,None,0,4,4,23,8.212695599999279,,8.203648900002008,8.212695599999279,9.21187660000578,9.21187660000578,9.21187660000578,9.44625230001111,t,0.21847009999328293,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
58,146,57,5,5,0,t,0.024526900000637397,None,0,5,5,67,9.461757199998829,,9.45077150000725,9.461757199998829,10.460784499999136,10.460784499999136,10.477595200005453,10.495660900007351,t,0.024526900000637397,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
45,132,167,6,6,0,t,0.1194474999938393,None,0,6,6,88,10.510795000009239,,10.50166110000282,10.510795000009239,11.510311300007743,11.510311300007743,11.526684600001317,11.644568700008676,t,0.1194474999938393,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
63,140,155,7,7,0,t,0.08997919999819715,None,0,7,7,40,11.65964779999922,,11.650454900009208,11.65964779999922,12.659161200004746,12.659161200004746,12.659161200004746,12.76049050000438,t,0.08997919999819715,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
22,27,112,8,8,0,t,None,None,0,8,8,7,12.775350099997013,,12.766898100002436,12.775350099997013,13.7746627000015,13.7746627000015,13.7746627000015,13.859454899997218,t,None,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
65,182,44,9,9,0,t,0.0013667999883182347,None,0,9,9,66,13.874615400010953,,13.866179700009525,13.874615400010953,14.873683400001028,14.873683400001028,14.890400100004626,14.891614799998933,t,0.0013667999883182347,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
16,102,139,10,10,0,t,None,None,0,10,10,86,14.906910200006678,,14.896649200003594,14.906910200006678,15.906378700005007,15.906378700005007,15.906378700005007,16.00747900000715,t,None,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
5,42,110,11,11,0,t,0.4377396000054432,None,0,11,11,34,16.022677300003124,,16.012865700002294,16.022677300003124,17.021748500003014,17.021748500003014,17.021748500003014,17.47349810000742,t,0.4377396000054432,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
100,138,160,12,12,0,t,0.13509270000213291,None,0,12,12,77,17.487930200004485,,17.479098800002248,17.487930200004485,18.48713530000532,18.48713530000532,18.48713530000532,18.638338100005058,t,0.13509270000213291,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
19,66,70,13,13,0,t,0.17566940000688192,None,0,13,13,15,18.65376230000402,,18.643831900000805,18.65376230000402,19.652954300006968,19.652954300006968,19.652954300006968,19.837756699998863,t,0.17566940000688192,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
18,61,102,14,14,0,t,0.08212690000073053,None,0,14,14,12,19.85260910000943,,19.844951699997182,19.85260910000943,20.85188260000723,20.85188260000723,20.85188260000723,20.93751090001024,t,0.08212690000073053,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
42,101,94,15,15,0,l,None,None,0,15,15,78,20.956333900001482,,20.951071200004662,20.956333900001482,21.951000300003216,21.951000300003216,21.967499600010342,22.06913670001086,l,None,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
9,53,30,16,16,0,l,0.4387480000004871,None,0,16,16,61,22.083884000006947,,22.07654160000675,22.083884000006947,23.083154500011005,23.083154500011005,23.083154500011005,23.53430450000451,l,0.4387480000004871,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
8,55,185,17,17,0,l,0.05140389999723993,None,0,17,17,51,23.54936180000368,,23.54007420000562,23.54936180000368,24.548544600009336,24.548544600009336,24.548544600009336,24.6166130000056,l,0.05140389999723993,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
56,125,61,18,18,0,l,0.0871536000049673,None,0,18,18,31,24.63163030000578,,24.62179859999742,24.63163030000578,25.631023599999025,25.631023599999025,25.631023599999025,25.732846400002018,l,0.0871536000049673,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
52,118,91,19,19,0,l,0.44331339999916963,None,0,19,19,43,25.7475073000096,,25.741100400002324,25.7475073000096,26.746740600006888,26.746740600006888,26.763459399997373,27.197637500008568,l,0.44331339999916963,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
43,111,40,20,20,0,l,0.0010628000018186867,None,0,20,20,59,27.212951900000917,,27.20218810001097,27.212951900000917,28.21199520000664,28.21199520000664,28.21199520000664,28.229811099998187,l,0.0010628000018186867,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
60,152,178,21,21,0,l,0.08940300000540446,None,0,21,21,47,28.245223700010683,,28.234002700002748,28.245223700010683,29.24471199999971,29.24471199999971,29.24471199999971,29.34557330000098,l,0.08940300000540446,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
74,186,183,22,22,0,l,0.8839028999937,None,0,22,22,69,29.360899200008134,,29.34994369999913,29.360899200008134,30.360277600004338,30.360277600004338,30.360277600004338,31.26128669999889,l,0.8839028999937,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
19,58,10,23,23,0,l,0.28383890000986867,None,0,23,23,48,31.275972800009185,,31.268001000004006,31.275972800009185,32.27526160000707,32.27526160000707,32.27526160000707,32.5763231000019,l,0.28383890000986867,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
21,109,190,24,24,0,l,0.06153429999540094,None,0,24,24,41,32.59167809999781,,32.58185329999833,32.59167809999781,33.590700200002175,33.590700200002175,33.607319200003985,33.659022500010906,l,0.06153429999540094,None,0003,001,2025-11-06_22h54.22.307,Delay Discounting Main,2024.2.4,60.209408320308775,2025-11-06 22h54.36.055519 +0530,
