study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
case,0,0,0,1.011111111111111,2.1606163000687957,,,,,,,,,,,,0,0,0,10,,,,,0.06943769985809922,,0.02206219988875091,0.06943769985809922,0.06943769985809922,2.198401799891144,1.011111111111111,2.1606163000687957,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
cruise,1,1,0,1.0222222222222221,2.1944856999907643,,,,,,,,,,,,0,1,1,11,,,,,2.215985900023952,,2.2039830000139773,2.215985900023952,2.215985900023952,4.413751299958676,1.0222222222222221,2.1944856999907643,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
pastry,2,2,0,1.0222222222222221,3.740515800192952,,,,,,,,,,,,0,2,2,9,,,,,4.43069009995088,,4.420475599821657,4.43069009995088,4.43069009995088,8.17680549994111,1.0222222222222221,3.740515800192952,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
chart,3,3,0,1.0333333333333334,2.4924290000926703,,,,,,,,,,,,0,3,3,6,,,,,8.194100899854675,,8.183189099887386,8.194100899854675,8.194100899854675,10.691177899949253,1.0333333333333334,2.4924290000926703,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
book,4,4,0,1.0814814814814815,2.8286143001168966,,,,,,,,,,,,0,4,4,0,,,,,10.706422399962321,,10.694724399829283,10.706422399962321,10.706422399962321,13.53874500002712,1.0814814814814815,2.8286143001168966,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
keys,5,5,0,1.0814814814814815,1.7285372999031097,,,,,,,,,,,,0,5,5,13,,,,,13.554061200004071,,13.543121899943799,13.554061200004071,13.554061200004071,15.286949999863282,1.0814814814814815,1.7285372999031097,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
tshirt,6,6,0,1.0814814814814815,1.6625341000035405,,,,,,,,,,,,0,6,6,7,,,,,15.302753599826247,,15.291228499962017,15.302753599826247,15.302753599826247,16.969121200032532,1.0814814814814815,1.6625341000035405,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
police,7,7,0,1.1222222222222222,3.160463800188154,,,,,,,,,,,,0,7,7,12,,,,,16.98419789993204,,16.97343759983778,16.98419789993204,16.98419789993204,20.149582899874076,1.1222222222222222,3.160463800188154,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
cushion,8,8,0,1.048148148148148,4.574091899907216,,,,,,,,,,,,0,8,8,1,,,,,20.167370799928904,,20.15602090000175,20.167370799928904,20.167370799928904,24.745989399962127,1.048148148148148,4.574091899907216,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
poster,9,9,0,1.048148148148148,2.4109765999019146,,,,,,,,,,,,0,9,9,14,,,,,24.760887899901718,,24.74982180004008,24.760887899901718,24.760887899901718,27.176872299984097,1.048148148148148,2.4109765999019146,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
mouse,10,10,0,1.048148148148148,2.328238199930638,,,,,,,,,,,,0,10,10,8,,,,,27.192016899818555,,27.180805299896747,27.192016899818555,27.192016899818555,29.52492560003884,1.048148148148148,2.328238199930638,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
board,11,11,0,1.048148148148148,3.7750325000379235,,,,,,,,,,,,0,11,11,4,,,,,29.540448899846524,,29.530347699997947,29.540448899846524,29.540448899846524,33.32146140001714,1.048148148148148,3.7750325000379235,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
laptop,12,12,0,1.048148148148148,3.7934967998880893,,,,,,,,,,,,0,12,12,5,,,,,33.33668949990533,,33.32525429991074,33.33668949990533,33.33668949990533,37.13454869994894,1.048148148148148,3.7934967998880893,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
phone,13,13,0,1.048148148148148,3.2942521998193115,,,,,,,,,,,,0,13,13,2,,,,,37.15094790002331,,37.13892890000716,37.15094790002331,37.15094790002331,40.44880899996497,1.048148148148148,3.2942521998193115,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
marble,14,14,0,1.048148148148148,6.273397600045428,,,,,,,,,,,,0,14,14,3,,,,,40.4648537999019,,40.453534699976444,40.4648537999019,40.4648537999019,46.742958299815655,1.048148148148148,6.273397600045428,,,,,,,,,,,,,,,,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
,0,0,0,,,s_ra_g_t,straight,new,straight,[0.025],[-0.28888888888888886],[1],[0],[0],[5.975473999977112],['submit_text'],,,,,0,0,0,21,46.77482829988003,,,,,,,,46.762137399986386,46.77482829988003,46.77482829988003,46.77482829988003,0.01917749992571771,52.73842599987984,straight,[0.025],[-0.28888888888888886],[1],[0],[0],[5.975473999977112],['submit_text'],,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
,1,1,0,,,p_li_e,police,old,police,[0.03611111111111111],[-0.2824074074074074],[1],[0],[0],[3.992014299845323],['submit_text'],,,,,0,1,1,7,52.75311559997499,,,,,,,,52.742025999818,52.75311559997499,52.75311559997499,52.75311559997499,0.0034469999372959137,56.73473469982855,police,[0.03611111111111111],[-0.2824074074074074],[1],[0],[0],[3.992014299845323],['submit_text'],,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
,2,2,0,,,_o_se,mouse,old,mouse,[0.044444444444444446],[-0.2777777777777778],[1],[0],[0],[3.1943298000842333],['submit_text'],,,,,0,2,2,3,56.749599999981,,,,,,,,56.73809739993885,56.749599999981,56.749599999981,56.749599999981,0.0032253998797386885,59.93321749987081,mouse,[0.044444444444444446],[-0.2777777777777778],[1],[0],[0],[3.1943298000842333],['submit_text'],,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
,3,3,0,,,_o_rd,board,old,board,[0.049074074074074076],[-0.30925925925925923],[1],[0],[0],[7.303694499889389],['submit_text'],,,,,0,3,3,10,59.948656499851495,,,,,,,,59.93709459993988,59.948656499851495,59.948656499851495,59.948656499851495,0.0037072000559419394,67.24171729991212,board,[0.049074074074074076],[-0.30925925925925923],[1],[0],[0],[7.303694499889389],['submit_text'],,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
,4,4,0,,,or_n_e,orange,new,orange,[0.049074074074074076],[-0.30925925925925923],[1],[0],[0],[9.872696100035682],['submit_text'],,,,,0,4,4,23,67.25736059993505,,,,,,,,67.24489940004423,67.25736059993505,67.25736059993505,67.25736059993505,0.0030405998695641756,77.118442799896,orange,[0.049074074074074076],[-0.30925925925925923],[1],[0],[0],[9.872696100035682],['submit_text'],,0003,001,2025-10-16_11h57.43.122,Word_PrimingExp,2024.2.4,60.066914576854735,2025-10-16 11h58.34.041390 +0530,
