pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,3.5235449998872355,None,0,0,0,0,,,,,0.015623999992385507,,0.011229500058107078,0.015623999992385507,1.0065763000166044,1.0065763000166044,1.0065763000166044,1.0065763000166044,1.0232363999821246,2.005812900024466,2.005812900024466,5.541566999978386,x,1,3.5235449998872355,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
150,v,1,1,0,v,1,0.4455383000895381,None,0,1,1,1,,,,,5.552580400020815,,5.541984700015746,5.552580400020815,6.551807999960147,6.551807999960147,6.551807999960147,6.551807999960147,6.551807999960147,7.550857200054452,7.550857200054452,8.002699700067751,v,1,0.4455383000895381,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
50,c,2,2,0,c,1,0.35185880004428327,None,0,2,2,2,,,,,8.017106699990109,,8.003140200045891,8.017106699990109,9.016451800009236,9.016451800009236,9.016451800009236,9.016451800009236,9.016451800009236,10.01560080004856,10.01560080004856,10.383134000003338,c,1,0.35185880004428327,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
-150,z,3,3,0,z,1,0.3737797999056056,None,0,3,3,3,,,,,10.398248499957845,,10.383747800020501,10.398248499957845,11.397565399995074,11.397565399995074,11.397565399995074,11.397565399995074,11.397565399995074,12.396866900031455,12.396866900031455,12.781116900034249,z,1,0.3737797999056056,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
-50,x,4,0,1,x,1,0.28113040002062917,None,1,0,4,0,,,,,12.796319699962623,,12.781526200007647,12.796319699962623,13.795413900050335,13.795413900050335,13.795413900050335,13.795413900050335,13.795413900050335,14.794564799987711,14.794564799987711,15.078875300008804,x,1,0.28113040002062917,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
150,v,5,1,1,v,1,0.4044809000333771,None,1,1,5,1,,,,,15.094496899982914,,15.079264600062743,15.094496899982914,16.09349740005564,16.09349740005564,16.09349740005564,16.09349740005564,16.09349740005564,17.092509799986146,17.092509799986146,17.510699899983592,v,1,0.4044809000333771,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
50,c,6,2,1,c,1,0.3084208999061957,None,1,2,6,2,,,,,17.525681199971586,,17.51129369996488,17.525681199971586,18.524812299991027,18.524812299991027,18.524812299991027,18.524812299991027,18.524812299991027,19.523754599969834,19.523754599969834,19.8417916999897,c,1,0.3084208999061957,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
-150,z,7,3,1,z,1,0.37560300005134195,None,1,3,7,3,,,,,19.856846200069413,,19.842275800067,19.856846200069413,20.85595940006897,20.85595940006897,20.85595940006897,20.85595940006897,20.85595940006897,21.855218400014564,21.855218400014564,22.239499400020577,z,1,0.37560300005134195,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
-50,x,8,0,2,x,1,0.3786335999611765,None,2,0,8,0,,,,,22.254765499965288,,22.239985599997453,22.254765499965288,23.253851199988276,23.253851199988276,23.253851199988276,23.253851199988276,23.253851199988276,24.253115899977274,24.253115899977274,24.637610299978405,x,1,0.3786335999611765,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
150,v,9,1,2,v,1,0.4675175999291241,None,2,1,9,1,,,,,24.65271659998689,,24.63809709995985,24.65271659998689,25.651760300039314,25.651760300039314,25.651760300039314,25.651760300039314,25.651760300039314,26.650950000039302,26.650950000039302,27.13512200000696,v,1,0.4675175999291241,None,,,,,0005,001,2025-10-02_17h42.41.890,Motor Seq Learning main code,2024.2.4,60.04906010614286,2025-10-02 17h43.41.217254 +0530,
