thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp_2.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
69,0,69,down,1,1.4203082999956678,None,-2,69,0,69,0,115.31226779999997,,,,,,,,,115.29722530000436,115.31226779999997,115.31226779999997,116.31144100000529,116.74586290000298,down,1,1.4203082999956678,None,-2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
70,0,70,up,1,1.4884885999999824,None,0,70,0,70,0,116.76094970000122,,,,,,,,,116.74620069999946,116.76094970000122,116.76094970000122,117.76027550000435,118.2609020000018,up,1,1.4884885999999824,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
71,0,71,up,1,1.459609099998488,None,0,71,0,71,0,118.27638560000196,,,,,,,,,118.26121140000032,118.27638560000196,118.27638560000196,119.29232369999954,119.74307290000434,up,1,1.459609099998488,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
72,0,72,down,1,1.6238529000038397,None,-4,72,0,72,0,119.75836640000489,,,,,,,,,119.74345030000404,119.75836640000489,119.75836640000489,120.75771789999999,121.39159040000231,down,1,1.6238529000038397,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
73,0,73,down,1,1.7166577000025427,None,-5,73,0,73,0,121.40709400000196,,,,,,,,,121.39199680000456,121.40709400000196,121.40709400000196,122.4061290000027,123.13992940000026,down,1,1.7166577000025427,None,-5,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
74,0,74,up,1,1.643279000003531,None,0,74,0,74,0,123.15535649999947,,,,,,,,,123.14038140000048,123.15535649999947,123.15535649999947,124.15461160000268,124.80553920000239,up,1,1.643279000003531,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
75,0,75,down,1,1.5056084000025294,None,3,75,0,75,0,124.82060340000317,,,,,,,,,124.80593000000226,124.82060340000317,124.82060340000317,125.8200233000025,126.33721910000168,down,1,1.5056084000025294,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
76,0,76,down,1,1.5167246999990311,None,2,76,0,76,0,126.35257710000587,,,,,,,,,126.33761860000232,126.35257710000587,126.35257710000587,127.35180180000316,127.88578270000289,down,1,1.5167246999990311,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
77,0,77,up,1,1.5225057999996352,None,0,77,0,77,0,127.90124510000169,,,,,,,,,127.8860724000042,127.90124510000169,127.90124510000169,128.90066150000348,129.43429180000385,up,1,1.5225057999996352,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
78,0,78,up,1,1.537803300001542,None,0,78,0,78,0,129.44982350000646,,,,,,,,,129.43456340000557,129.44982350000646,129.44982350000646,130.44910650000384,130.99966540000605,up,1,1.537803300001542,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
79,0,79,up,1,1.4801065000065137,None,0,79,0,79,0,131.01535270000022,,,,,,,,,131.00002650000533,131.01535270000022,131.01535270000022,132.0312097999995,132.4983546000003,up,1,1.4801065000065137,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
80,0,80,up,1,1.6886247000002186,None,0,80,0,80,0,132.51408710000396,,,,,,,,,132.49862890000077,132.51408710000396,132.51408710000396,133.52976979999949,134.21395210000628,up,1,1.6886247000002186,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
81,0,81,up,1,1.4977696999994805,None,0,81,0,81,0,134.2290506000063,,,,,,,,,134.2143378000037,134.2290506000063,134.2290506000063,135.22823500000231,135.72918340000615,up,1,1.4977696999994805,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
82,0,82,down,1,1.5232306999969296,None,2,82,0,82,0,135.74459360000037,,,,,,,,,135.72957600000518,135.74459360000037,135.74459360000037,136.76038100000005,137.27791860000434,down,1,1.5232306999969296,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
83,0,83,down,0,1.496969200001331,None,0,83,0,83,0,137.29294460000528,,,,,,,,,137.27832740000304,137.29294460000528,137.29294460000528,138.29219180000655,138.79303740000614,down,0,1.496969200001331,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
84,0,84,down,1,1.5965608999977121,None,4,84,0,84,0,138.80842200000188,,,,,,,,,138.7934957000034,138.80842200000188,138.80842200000188,139.80757260000246,140.40818790000048,down,1,1.5965608999977121,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
85,0,85,up,1,1.4367060999938985,None,0,85,0,85,0,140.42358620000596,,,,,,,,,140.40850800000044,140.42358620000596,140.42358620000596,141.42287110000325,141.87350490000244,up,1,1.4367060999938985,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
86,0,86,up,1,1.4311090999981388,None,0,86,0,86,0,141.88922620000085,,,,,,,,,141.87383740000223,141.88922620000085,141.88922620000085,142.90489490000618,143.3222595000043,up,1,1.4311090999981388,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
87,0,87,down,1,1.4791798000005656,None,4,87,0,87,0,143.33774500000436,,,,,,,,,143.322611100004,143.33774500000436,143.33774500000436,144.33711890000268,144.82117950000247,down,1,1.4791798000005656,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
88,0,88,down,1,1.4652519000010216,None,3,88,0,88,0,144.83651480000117,,,,,,,,,144.82160380000278,144.83651480000117,144.83651480000117,145.8357931000064,146.30343650000577,down,1,1.4652519000010216,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
89,0,89,up,0,1.7740080000003218,None,2,89,0,89,0,146.31855600000563,,,,,,,,,146.3039246000044,146.31855600000563,146.31855600000563,147.31794010000158,148.10142440000345,up,0,1.7740080000003218,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
90,0,90,up,1,1.6240019000033499,None,0,90,0,90,0,148.1170276000048,,,,,,,,,148.10175359999994,148.1170276000048,148.1170276000048,149.11610750000546,149.75063010000304,up,1,1.6240019000033499,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
91,0,91,up,0,1.61502940000355,None,-2,91,0,91,0,149.76553360000253,,,,,,,,,149.75102239999978,149.76553360000253,149.76553360000253,150.76468840000598,151.38218460000644,up,0,1.61502940000355,None,-2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
92,0,92,down,0,1.6438748000000487,None,0,92,0,92,0,151.39746350000496,,,,,,,,,151.38250490000064,151.39746350000496,151.39746350000496,152.39665190000233,153.04739230000268,down,0,1.6438748000000487,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
93,0,93,up,1,1.470808500002022,None,0,93,0,93,0,153.06252060000406,,,,,,,,,153.04774240000552,153.06252060000406,153.06252060000406,154.06184230000508,154.54614550000406,up,1,1.470808500002022,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
94,0,94,up,1,1.3783872999993037,None,0,94,0,94,0,154.5613016999996,,,,,,,,,154.5465786000059,154.5613016999996,154.5613016999996,155.5606289999996,155.94482780000544,up,1,1.3783872999993037,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
95,0,95,down,1,1.521020200001658,None,1,95,0,95,0,155.96006810000108,,,,,,,,,155.94517980000091,155.96006810000108,155.96006810000108,156.9759097999995,157.49310840000544,down,1,1.521020200001658,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
96,0,96,down,1,1.4917230999999447,None,2,96,0,96,0,157.50886110000283,,,,,,,,,157.49341450000065,157.50886110000283,157.50886110000283,158.52476350000506,159.0092242000028,down,1,1.4917230999999447,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
97,0,97,up,1,1.691143000003649,None,0,97,0,97,0,159.02409500000067,,,,,,,,,159.00964540000132,159.02409500000067,159.02409500000067,160.02339520000533,160.72387610000442,up,1,1.691143000003649,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
98,0,98,up,1,1.7161965999985114,None,0,98,0,98,0,160.73921770000015,,,,,,,,,160.72423280000658,160.73921770000015,160.73921770000015,161.73841920000268,162.47225930000423,up,1,1.7161965999985114,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
99,0,99,up,1,1.5335011999995913,None,0,99,0,99,0,162.48782320000464,,,,,,,,,162.47258259999944,162.48782320000464,162.48782320000464,163.48698030000378,164.03796620000503,up,1,1.5335011999995913,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
