pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.9061486000427976,None,0,0,0,0,,,,,0.018728199996985495,,0.013348400010727346,0.018728199996985495,1.001761500025168,1.001761500025168,1.001761500025168,1.001761500025168,1.0186787999700755,2.0008996999822557,2.0008996999822557,2.9321760999737307,x,1,0.9061486000427976,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
150,v,1,1,0,v,1,0.35539959999732673,None,0,1,1,1,,,,,2.9373243000591174,,2.9328356999903917,2.9373243000591174,3.932732900022529,3.932732900022529,3.932732900022529,3.932732900022529,3.9493013999890536,4.93177560006734,4.93177560006734,5.299927799962461,v,1,0.35539959999732673,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
50,c,2,2,0,c,1,0.36215689999517053,None,0,2,2,2,,,,,5.314870200003497,,5.300466499989852,5.314870200003497,6.314030700013973,6.314030700013973,6.314030700013973,6.314030700013973,6.314030700013973,7.313018399989232,7.313018399989232,7.681017399998382,c,1,0.36215689999517053,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
-150,z,3,3,0,z,1,0.38183160009793937,None,0,3,3,3,,,,,7.6959872000152245,,7.6814976000459865,7.6959872000152245,8.695382500067353,8.695382500067353,8.695382500067353,8.695382500067353,8.695382500067353,9.694340800051577,9.694340800051577,10.079013300011866,z,1,0.38183160009793937,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
-50,x,4,0,1,x,1,0.43463249993510544,None,1,0,4,0,,,,,10.09402980003506,,10.07972839998547,10.09402980003506,11.09298790001776,11.09298790001776,11.09298790001776,11.09298790001776,11.09298790001776,12.0921811000444,12.0921811000444,12.543809000053443,x,1,0.43463249993510544,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
150,v,5,1,1,v,1,0.3186116999713704,None,1,1,5,1,,,,,12.558489199960604,,12.544511700049043,12.558489199960604,13.557687600026838,13.557687600026838,13.557687600026838,13.557687600026838,13.557687600026838,14.556655499967746,14.556655499967746,14.891433599987067,v,1,0.3186116999713704,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
50,c,6,2,1,c,1,0.32539060001727194,None,1,2,6,2,,,,,14.906422600033693,,14.891914700041525,14.906422600033693,15.905688700033352,15.905688700033352,15.905688700033352,15.905688700033352,15.905688700033352,16.904706400004216,16.904706400004216,17.238991599995643,c,1,0.32539060001727194,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
-150,z,7,3,1,z,1,0.3510793000459671,None,1,3,7,3,,,,,17.25432169996202,,17.239375500008464,17.25432169996202,18.253676800057292,18.253676800057292,18.253676800057292,18.253676800057292,18.253676800057292,19.252758900052868,19.252758900052868,19.620825999998488,z,1,0.3510793000459671,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
-50,x,8,0,2,x,1,0.46184700005687773,None,2,0,8,0,,,,,19.63574649998918,,19.621469000005163,19.63574649998918,20.634798199986108,20.634798199986108,20.634798199986108,20.634798199986108,20.651602300000377,21.633874500053935,21.633874500053935,22.10207939997781,x,1,0.46184700005687773,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
150,v,9,1,2,v,1,0.6346831999253482,None,2,1,9,1,,,,,22.11683750001248,,22.102660999982618,22.11683750001248,23.115911600063555,23.115911600063555,23.115911600063555,23.115911600063555,23.115911600063555,24.115115400054492,24.115115400054492,24.765320700011216,v,1,0.6346831999253482,None,,,,,0003,001,2025-10-02_17h12.30.509,Motor Seq Learning main code,2024.2.4,59.92915174755759,2025-10-02 17h12.44.707764 +0530,
