16.0070 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 70, 'future_reward': 134, 'delay': 6, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
16.0153 	DATA 	Keypress: t
16.0219 	EXP 	Fixation: autoDraw = False
16.0219 	EXP 	text: autoDraw = False
16.0219 	EXP 	text: height = 0.05
16.0219 	EXP 	text: height = 0.05
16.0219 	EXP 	text: height = 0.05
16.0219 	EXP 	text: text = 'GBP 70 today or GBP 134 after 6 days'
16.0219 	EXP 	Fixation: autoDraw = True
17.0219 	INFO 	Keyboard events cleared
17.0214 	EXP 	Fixation: autoDraw = False
17.0214 	EXP 	text: autoDraw = True
19.5704 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 16, 'future_reward': 63, 'delay': 200, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
19.5766 	DATA 	Keypress: l
19.5855 	EXP 	Fixation: autoDraw = False
19.5855 	EXP 	text: autoDraw = False
19.5855 	EXP 	text: height = 0.05
19.5855 	EXP 	text: height = 0.05
19.5855 	EXP 	text: height = 0.05
19.5855 	EXP 	text: text = 'GBP 16 today or GBP 63 after 200 days'
19.5855 	EXP 	Fixation: autoDraw = True
20.5852 	INFO 	Keyboard events cleared
20.5848 	EXP 	Fixation: autoDraw = False
20.5848 	EXP 	text: autoDraw = True
22.7511 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'reward_today': 61, 'future_reward': 120, 'delay': 143, 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
22.7585 	DATA 	Keypress: t
22.7661 	EXP 	Fixation: autoDraw = False
22.7661 	EXP 	text: autoDraw = False
22.7661 	EXP 	text: height = 0.05
22.7661 	EXP 	text: height = 0.05
22.7661 	EXP 	text: height = 0.05
22.7661 	EXP 	text: text = 'GBP 61 today or GBP 120 after 143 days'
22.7661 	EXP 	Fixation: autoDraw = True
23.7657 	INFO 	Keyboard events cleared
23.7652 	EXP 	Fixation: autoDraw = False
23.7652 	EXP 	text: autoDraw = True
29.8280 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'reward_today': 66, 'future_reward': 148, 'delay': 18, 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
29.8348 	DATA 	Keypress: l
29.8434 	EXP 	Fixation: autoDraw = False
29.8434 	EXP 	text: autoDraw = False
29.8434 	EXP 	text: height = 0.05
29.8434 	EXP 	text: height = 0.05
29.8434 	EXP 	text: height = 0.05
29.8434 	EXP 	text: text = 'GBP 66 today or GBP 148 after 18 days'
29.8434 	EXP 	Fixation: autoDraw = True
30.8430 	INFO 	Keyboard events cleared
30.8425 	EXP 	text: autoDraw = True
30.8593 	EXP 	Fixation: autoDraw = False
48.4950 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'reward_today': 25, 'future_reward': 131, 'delay': 151, 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
48.5003 	DATA 	Keypress: l
48.5105 	EXP 	Fixation: autoDraw = False
48.5105 	EXP 	text: autoDraw = False
48.5105 	EXP 	text: height = 0.05
48.5105 	EXP 	text: height = 0.05
48.5105 	EXP 	text: height = 0.05
48.5105 	EXP 	text: text = 'GBP 25 today or GBP 131 after 151 days'
48.5105 	EXP 	Fixation: autoDraw = True
49.5101 	INFO 	Keyboard events cleared
49.5095 	EXP 	Fixation: autoDraw = False
49.5095 	EXP 	text: autoDraw = True
57.8205 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'reward_today': 65, 'future_reward': 182, 'delay': 44, 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
57.8300 	DATA 	Keypress: l
57.8353 	EXP 	Fixation: autoDraw = False
57.8353 	EXP 	text: autoDraw = False
57.8353 	EXP 	text: height = 0.05
57.8353 	EXP 	text: height = 0.05
57.8353 	EXP 	text: height = 0.05
57.8353 	EXP 	text: text = 'GBP 65 today or GBP 182 after 44 days'
57.8353 	EXP 	Fixation: autoDraw = True
58.8356 	INFO 	Keyboard events cleared
58.8349 	EXP 	Fixation: autoDraw = False
58.8349 	EXP 	text: autoDraw = True
60.8514 	EXP 	New trial (rep=0, index=11): <Trial 11 (11 in rep 0) data={'reward_today': 27, 'future_reward': 90, 'delay': 193, 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 0}>
60.8582 	DATA 	Keypress: l
60.8662 	EXP 	Fixation: autoDraw = False
60.8662 	EXP 	text: autoDraw = False
60.8662 	EXP 	text: height = 0.05
60.8662 	EXP 	text: height = 0.05
60.8662 	EXP 	text: height = 0.05
60.8662 	EXP 	text: text = 'GBP 27 today or GBP 90 after 193 days'
60.8662 	EXP 	Fixation: autoDraw = True
61.8661 	INFO 	Keyboard events cleared
61.8657 	EXP 	Fixation: autoDraw = False
61.8657 	EXP 	text: autoDraw = True
64.5317 	EXP 	New trial (rep=0, index=12): <Trial 12 (12 in rep 0) data={'reward_today': 26, 'future_reward': 54, 'delay': 198, 'thisN': 12, 'thisTrialN': 12, 'thisRepN': 0}>
64.5418 	DATA 	Keypress: l
64.5463 	EXP 	Fixation: autoDraw = False
64.5463 	EXP 	text: autoDraw = False
64.5463 	EXP 	text: height = 0.05
64.5463 	EXP 	text: height = 0.05
64.5463 	EXP 	text: height = 0.05
64.5463 	EXP 	text: text = 'GBP 26 today or GBP 54 after 198 days'
64.5463 	EXP 	Fixation: autoDraw = True
65.5460 	INFO 	Keyboard events cleared
65.5455 	EXP 	Fixation: autoDraw = False
65.5455 	EXP 	text: autoDraw = True
66.6792 	EXP 	New trial (rep=0, index=13): <Trial 13 (13 in rep 0) data={'reward_today': 19, 'future_reward': 66, 'delay': 70, 'thisN': 13, 'thisTrialN': 13, 'thisRepN': 0}>
66.6852 	DATA 	Keypress: l
66.6946 	EXP 	Fixation: autoDraw = False
66.6946 	EXP 	text: autoDraw = False
66.6946 	EXP 	text: height = 0.05
66.6946 	EXP 	text: height = 0.05
66.6946 	EXP 	text: height = 0.05
66.6946 	EXP 	text: text = 'GBP 19 today or GBP 66 after 70 days'
66.6946 	EXP 	Fixation: autoDraw = True
67.6942 	INFO 	Keyboard events cleared
67.6936 	EXP 	Fixation: autoDraw = False
67.6936 	EXP 	text: autoDraw = True
70.6926 	EXP 	New trial (rep=0, index=14): <Trial 14 (14 in rep 0) data={'reward_today': 25, 'future_reward': 93, 'delay': 180, 'thisN': 14, 'thisTrialN': 14, 'thisRepN': 0}>
70.6986 	DATA 	Keypress: l
70.7079 	EXP 	Fixation: autoDraw = False
70.7079 	EXP 	text: autoDraw = False
70.7079 	EXP 	text: height = 0.05
70.7079 	EXP 	text: height = 0.05
70.7079 	EXP 	text: height = 0.05
70.7079 	EXP 	text: text = 'GBP 25 today or GBP 93 after 180 days'
70.7079 	EXP 	Fixation: autoDraw = True
71.7074 	INFO 	Keyboard events cleared
71.7069 	EXP 	text: autoDraw = True
71.7236 	EXP 	Fixation: autoDraw = False
75.6714 	EXP 	New trial (rep=0, index=15): <Trial 15 (15 in rep 0) data={'reward_today': 17, 'future_reward': 105, 'delay': 179, 'thisN': 15, 'thisTrialN': 15, 'thisRepN': 0}>
75.6773 	DATA 	Keypress: l
75.6866 	EXP 	Fixation: autoDraw = False
75.6866 	EXP 	text: autoDraw = False
75.6866 	EXP 	text: height = 0.05
75.6866 	EXP 	text: height = 0.05
75.6866 	EXP 	text: height = 0.05
75.6866 	EXP 	text: text = 'GBP 17 today or GBP 105 after 179 days'
75.6866 	EXP 	Fixation: autoDraw = True
76.6864 	INFO 	Keyboard events cleared
76.6858 	EXP 	Fixation: autoDraw = False
76.6858 	EXP 	text: autoDraw = True
78.0362 	EXP 	New trial (rep=0, index=16): <Trial 16 (16 in rep 0) data={'reward_today': 31, 'future_reward': 96, 'delay': 137, 'thisN': 16, 'thisTrialN': 16, 'thisRepN': 0}>
78.0415 	DATA 	Keypress: l
78.0513 	EXP 	Fixation: autoDraw = False
