reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,124,133,0,0,0,t,4.1870348999946145,None,0,0,0,99,0.1545957000053022,,0.14949830000114162,0.1545957000053022,1.0019322000007378,1.0019322000007378,1.1684324000088964,5.206122600007802,t,4.1870348999946145,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
27,73,193,1,1,0,t,1.66795830000774,None,0,1,1,44,5.219368000005488,,5.21507279999787,5.219368000005488,6.213964099995792,6.213964099995792,6.230497099997592,7.896952399998554,t,1.66795830000774,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
15,98,80,2,2,0,l,1.9708873000054155,None,0,2,2,56,7.912443399996846,,7.906968399998732,7.912443399996846,8.911532199999783,8.911532199999783,8.911532199999783,10.894731299995328,l,1.9708873000054155,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
47,137,14,3,3,0,l,1.470889200005331,None,0,3,3,26,10.909534799997346,,10.90203610000026,10.909534799997346,11.909031999995932,11.909031999995932,11.909031999995932,13.39261599999736,l,1.470889200005331,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
22,27,112,4,4,0,t,1.590888000006089,None,0,4,4,7,13.407540200001677,,13.39815730000555,13.407540200001677,14.406733099996927,14.406733099996927,14.406733099996927,16.006771200001822,t,1.590888000006089,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
70,134,6,5,5,0,l,2.5368603999959305,None,0,5,5,58,16.02192009999999,,16.014148200003547,16.02192009999999,17.021381700003985,17.021381700003985,17.021381700003985,19.57022439999855,l,2.5368603999959305,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
16,63,200,6,6,0,t,2.1601478999946266,None,0,6,6,45,19.585486399999354,,19.57537289999891,19.585486399999354,20.58478550000291,20.58478550000291,20.58478550000291,22.750954899995122,t,2.1601478999946266,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
61,120,143,7,7,0,l,6.058361500006868,None,0,7,7,20,22.766050100006396,,22.756883499998366,22.766050100006396,23.765195500003756,23.765195500003756,23.765195500003756,29.82786040000792,l,6.058361500006868,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
66,148,18,8,8,0,l,17.647757400001865,None,0,8,8,93,29.84344549999514,,29.833514700003434,29.84344549999514,30.84252109999943,30.84252109999943,30.859303699995507,48.494867300003534,l,17.647757400001865,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
25,131,151,9,9,0,l,8.30034169999999,None,0,9,9,98,48.510493099995074,,48.49922520000837,48.510493099995074,49.50947530000121,49.50947530000121,49.50947530000121,57.82031330000609,l,8.30034169999999,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
65,182,44,10,10,0,l,2.0149308999971254,None,0,10,10,66,57.83532310000737,,57.82851859999937,57.83532310000737,58.834903900002246,58.834903900002246,58.834903900002246,60.851225699996576,l,2.0149308999971254,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
27,90,193,11,11,0,l,2.651389200007543,None,0,11,11,83,60.86619060000521,,60.85689199999615,60.86619060000521,61.865666099998634,61.865666099998634,61.865666099998634,64.53151149999758,l,2.651389200007543,None,0004,001,2025-11-06_20h58.27.896,Delay Discounting Main,2024.2.4,59.902119940364244,2025-11-06 20h58.39.947446 +0530,
