thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.4351851851851852],[-0.024074074074074074],[1],[0],[0],[6.464449299965054],['target'],0,0,0,0,0.07103220000863075,,10,0.051830100012011826,0.07103220000863075,0.07103220000863075,0.051518400083296,6.516875599976629,[0.4351851851851852],[-0.024074074074074074],[1],[0],[0],[6.464449299965054],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
1,0,1,[0.010185185185185186],[-0.4101851851851852],[1],[0],[0],[3.3386959000490606],['target'],1,0,1,0,6.575859799981117,,10,6.558163599926047,6.575859799981117,6.575859799981117,0.04108049999922514,9.89739209995605,[0.010185185185185186],[-0.4101851851851852],[1],[0],[0],[3.3386959000490606],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
2,0,2,[-0.08611111111111111],[-0.11296296296296296],[1],[0],[0],[1.7473909999243915],['target'],2,0,2,0,9.927726599969901,,5,9.916645399993286,9.927726599969901,9.927726599969901,0.0190506000071764,11.664614500012249,[-0.08611111111111111],[-0.11296296296296296],[1],[0],[0],[1.7473909999243915],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
3,0,3,[0.20092592592592592],[-0.018518518518518517],[1],[0],[0],[1.5420623000245541],['target'],3,0,3,0,11.697259100037627,,5,11.685872599948198,11.697259100037627,11.697259100037627,0.021013799938373268,13.228495299932547,[0.20092592592592592],[-0.018518518518518517],[1],[0],[0],[1.5420623000245541],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
4,0,4,[-0.4935185185185185],[-0.21944444444444444],[1],[0],[0],[1.6413793999236077],['target'],4,0,4,0,13.287968499935232,,10,13.268406699993648,13.287968499935232,13.287968499935232,0.03973319998476654,14.910236899973825,[-0.4935185185185185],[-0.21944444444444444],[1],[0],[0],[1.6413793999236077],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
5,0,5,[-0.262037037037037],[-0.34074074074074073],[1],[0],[0],[1.7105255000060424],['target'],5,0,5,0,14.94316569995135,,5,14.931498499936424,14.94316569995135,14.94316569995135,0.020999600063078105,16.64252819993999,[-0.262037037037037],[-0.34074074074074073],[1],[0],[0],[1.7105255000060424],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
6,0,6,[-0.22777777777777777],[0.18518518518518517],[1],[0],[0],[1.7743688999908045],['target'],6,0,6,0,16.678104599937797,,5,16.665556199965067,16.678104599937797,16.678104599937797,0.02283299993723631,18.440455400035717,[-0.22777777777777777],[0.18518518518518517],[1],[0],[0],[1.7743688999908045],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
7,0,7,[0.362962962962963],[-0.1537037037037037],[1],[0],[0],[1.7278375999303535],['target'],7,0,7,0,18.474346700008027,,5,18.461589699960314,18.474346700008027,18.474346700008027,0.020932800020091236,20.18992279993836,[0.362962962962963],[-0.1537037037037037],[1],[0],[0],[1.7278375999303535],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
8,0,8,[-0.3648148148148148],[0.47685185185185186],[1],[0],[0],[4.718593399971724],['target'],8,0,8,0,20.25193999998737,,10,20.23239260003902,20.25193999998737,20.25193999998737,0.04229679994750768,24.951496199937537,[-0.3648148148148148],[0.47685185185185186],[1],[0],[0],[4.718593399971724],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
9,0,9,[0.44907407407407407],[-0.4027777777777778],[1],[0],[0],[3.4895308000268415],['target'],9,0,9,0,25.010984499938786,,10,24.991258700028993,25.010984499938786,25.010984499938786,0.03943759994581342,28.48128419998102,[0.44907407407407407],[-0.4027777777777778],[1],[0],[0],[3.4895308000268415],['target'],0003,001,2025-09-30_16h04.31.254,Visual search main code,2024.2.4,60.03118020878826,2025-09-30 16h04.46.138230 +0530,
