thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030617000011261553,0.009785200003534555,0.009785200003534555,2.1976719000012963,space,2.1712925000028918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
0,0,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,0.3497614999942016,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.893944499999634,,,,,,,,,2.198884800003725,2.253818700002739,15.893944499999634,15.719964299998537,15.89107530000183,16.01024999999936,16.310468800002127,16.876596200003405,16.876596200003405,16.876596200003405,17.22728549999738,1,1,0.3497614999942016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
1,1,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,0,1,0.4170263999985764,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,17.248582200001692,,,,,,,,,,,,,17.24549719999777,17.32682090000162,17.626437500002794,18.242430199999944,18.242430199999944,18.242430199999944,18.675793300004443,0,1,0.4170263999985764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
2,2,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,0.8115032999994582,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,18.699224299998605,,,,,,,,,,,,,18.696406100003514,18.77572820000205,19.07459740000195,19.691250500000024,19.691250500000024,19.691250500000024,20.50772880000295,1,1,0.8115032999994582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
3,3,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,0.5442643999995198,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,20.53061880000314,,,,,,,,,,,,,20.52733779999835,20.607649800003855,20.906839299997955,21.523156800001743,21.523156800001743,21.523156800001743,22.07305610000185,0,1,0.5442643999995198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
0,0,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,0.4010665000023437,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,38.20469089999824,,,,,,,,,,,,,,,,,,,,,,,,22.08281359999819,23.09232560000237,38.07679680000001,38.199984799997765,38.20469089999824,38.50752880000073,39.074310900003184,39.074310900003184,39.074310900003184,39.49123680000048,0,1,0.4010665000023437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
1,1,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,0.7547688000049675,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,39.51281690000178,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50952690000122,39.59107159999985,39.89022970000224,40.50591590000113,40.50591590000113,40.50591590000113,41.27244110000174,0,1,0.7547688000049675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
2,2,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,0.9283899000001838,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,41.28857389999757,,,,,,,,,,,,,,,,,,,,,,,,,,,41.28104760000133,41.373020500002895,41.672039099998074,42.2879058000035,42.2879058000035,42.2879058000035,43.22120369999902,0,1,0.9283899000001838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
3,3,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,2.1968299000000115,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,43.24757859999954,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2443620999984,43.320811600002344,43.62037240000063,44.236396300002525,44.236396300002525,44.236396300002525,46.434894500001974,1,1,2.1968299000000115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
0,0,0,expimages/skateboard.jpg,skateboard,incongruent,leg,dancing,Paint roller,Skateboard,0,,,,,,,,,0,1,0.9968597000042791,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,62.567341699999815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.44450280000456,47.4568167000034,62.43884070000058,62.5630020000026,62.567341699999815,62.87007050000102,63.436119199999666,63.436119199999666,63.436119199999666,64.43582220000098,0,1,0.9968597000042791,None,,,,,,,,,,,,,,,,,,,,,,,0005,001,2025-11-23_08h17.45.255,Action Priming Exp,2024.2.4,59.94499447207183,2025-11-23 08h19.49.384840 +0530,
