21.1170 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
21.1316 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
22.9573 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B1449522C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B144952110>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002B144A0E890>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.9574 	EXP 	window1: backgroundImage = ''
22.9574 	EXP 	window1: backgroundFit = 'none'
23.1818 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.1818 	EXP 	window1: recordFrameIntervals = False
23.3409 	EXP 	window1: recordFrameIntervals = True
23.5247 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
23.5248 	EXP 	window1: recordFrameIntervals = False
28.5736 	INFO 	keyboard.Keyboard is using iohub backend.
28.5738 	INFO 	keyboard.Keyboard is using iohub backend.
28.5738 	EXP 	Delay Discounting Main: status = STARTED
28.5824 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
28.6178 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0231 	EXP 	Imported Delay Discounting file.xlsx as conditions, 100 conditions, 3 params
0.0264 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 15, 'future_reward': 84, 'delay': 32, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1560 	EXP 	text: height = 0.05
0.1560 	EXP 	text: height = 0.05
0.1560 	EXP 	text: height = 0.05
0.1560 	EXP 	text: text = 'GBP 15 today or GBP 84 after 32 days'
0.1560 	EXP 	Fixation: autoDraw = True
1.0016 	INFO 	Keyboard events cleared
1.0008 	EXP 	text: autoDraw = True
1.1672 	EXP 	Fixation: autoDraw = False
4.4109 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 61, 'future_reward': 120, 'delay': 143, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
4.4200 	DATA 	Keypress: l
4.4229 	EXP 	Fixation: autoDraw = False
4.4229 	EXP 	text: autoDraw = False
4.4229 	EXP 	text: height = 0.05
4.4229 	EXP 	text: height = 0.05
4.4229 	EXP 	text: height = 0.05
4.4229 	EXP 	text: text = 'GBP 61 today or GBP 120 after 143 days'
4.4229 	EXP 	Fixation: autoDraw = True
5.4139 	INFO 	Keyboard events cleared
5.4135 	EXP 	text: autoDraw = True
5.4304 	EXP 	Fixation: autoDraw = False
9.0947 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 11, 'future_reward': 80, 'delay': 38, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
9.1015 	DATA 	Keypress: t
9.1100 	EXP 	Fixation: autoDraw = False
9.1100 	EXP 	text: autoDraw = False
9.1100 	EXP 	text: height = 0.05
9.1100 	EXP 	text: height = 0.05
9.1100 	EXP 	text: height = 0.05
9.1100 	EXP 	text: text = 'GBP 11 today or GBP 80 after 38 days'
9.1100 	EXP 	Fixation: autoDraw = True
10.1098 	INFO 	Keyboard events cleared
10.1092 	EXP 	Fixation: autoDraw = False
10.1092 	EXP 	text: autoDraw = True
12.7250 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 50, 'future_reward': 72, 'delay': 189, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
12.7377 	DATA 	Keypress: l
12.7408 	EXP 	Fixation: autoDraw = False
12.7408 	EXP 	text: autoDraw = False
12.7408 	EXP 	text: height = 0.05
12.7408 	EXP 	text: height = 0.05
12.7408 	EXP 	text: height = 0.05
12.7408 	EXP 	text: text = 'GBP 50 today or GBP 72 after 189 days'
12.7408 	EXP 	Fixation: autoDraw = True
13.7399 	INFO 	Keyboard events cleared
13.7395 	EXP 	text: autoDraw = True
13.7561 	EXP 	Fixation: autoDraw = False
16.1885 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 19, 'future_reward': 66, 'delay': 70, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
16.1954 	DATA 	Keypress: t
16.2038 	EXP 	Fixation: autoDraw = False
16.2038 	EXP 	text: autoDraw = False
16.2038 	EXP 	text: height = 0.05
16.2038 	EXP 	text: height = 0.05
16.2038 	EXP 	text: height = 0.05
