study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,0,0,0,1.1888888888888889,1.9050630999263376,,,,,,,,,,,,0,0,0,4,,,,,0.09424910019151866,,0.02679480006918311,0.09424910019151866,0.09424910019151866,1.9476105000358075,1.1888888888888889,1.9050630999263376,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
chart,1,1,0,1.1888888888888889,1.2091957000084221,,,,,,,,,,,,0,1,1,6,,,,,1.966276900144294,,1.9545642000157386,1.966276900144294,1.966276900144294,3.1797937001101673,1.1888888888888889,1.2091957000084221,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
tshirt,2,2,0,1.4259259259259258,1.5926987000275403,,,,,,,,,,,,0,2,2,7,,,,,3.1972808002028614,,3.186481600161642,3.1972808002028614,3.1972808002028614,4.795170500176027,1.4259259259259258,1.5926987000275403,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
poster,3,3,0,2.0296296296296297,3.1572185999248177,,,,,,,,,,,,0,3,3,14,,,,,4.813572500133887,,4.80305920005776,4.813572500133887,4.813572500133887,7.975583099992946,2.0296296296296297,3.1572185999248177,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
case,4,4,0,1.3296296296296297,2.5613636998459697,,,,,,,,,,,,0,4,4,10,,,,,7.9908808001782745,,7.979441800154746,7.9908808001782745,7.9908808001782745,10.556642200099304,1.3296296296296297,2.5613636998459697,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
police,5,5,0,1.114814814814815,1.912603999953717,,,,,,,,,,,,0,5,5,12,,,,,10.572059400146827,,10.560317900031805,10.572059400146827,10.572059400146827,12.488579700002447,1.114814814814815,1.912603999953717,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
mouse,6,6,0,1.114814814814815,1.8950706999748945,,,,,,,,,,,,0,6,6,8,,,,,12.503839300014079,,12.492285500047728,12.503839300014079,12.503839300014079,14.403393800137565,1.114814814814815,1.8950706999748945,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
keys,7,7,0,1.1185185185185185,1.7272398001514375,,,,,,,,,,,,0,7,7,13,,,,,14.419357300037518,,14.408557600108907,14.419357300037518,14.419357300037518,16.152096400037408,1.1185185185185185,1.7272398001514375,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
laptop,8,8,0,1.1555555555555554,6.523876100080088,,,,,,,,,,,,0,8,8,5,,,,,16.16731180017814,,16.15660020010546,16.16731180017814,16.16731180017814,22.69606059999205,1.1555555555555554,6.523876100080088,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
cruise,9,9,0,1.1074074074074074,0.6131857999134809,,,,,,,,,,,,0,9,9,11,,,,,22.712062100181356,,22.700240000151098,22.712062100181356,22.712062100181356,23.329009799985215,1.1074074074074074,0.6131857999134809,,,,,,,,,,,,,,,,0001,001,2025-10-16_11h35.30.775,Word_PrimingExp,2024.2.4,59.9085436601273,2025-10-16 11h35.44.538096 +0530,
