thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.12222222222222222],[0.04722222222222222],[1],[0],[0],[1.4796797999879345],['target'],0,0,0,0,0.2600964999292046,,10,0.1335678999312222,0.2600964999292046,0.2600964999292046,0.13328930002171546,1.6137172000017017,[0.12222222222222222],[0.04722222222222222],[1],[0],[0],[1.4796797999879345],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
1,0,1,[-0.37962962962962965],[-0.4361111111111111],[1],[0],[0],[1.3906382001005113],['target'],1,0,1,0,1.6707178000360727,,10,1.6536215000087395,1.6707178000360727,1.6707178000360727,0.039677799912169576,3.0447294999612495,[-0.37962962962962965],[-0.4361111111111111],[1],[0],[0],[1.3906382001005113],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
2,0,2,[-0.006481481481481481],[-0.39814814814814814],[1],[0],[0],[1.0415945999557152],['target'],2,0,2,0,3.079204599955119,,5,3.0679039999376982,3.079204599955119,3.079204599955119,0.022963800001889467,4.110066400025971,[-0.006481481481481481],[-0.39814814814814814],[1],[0],[0],[1.0415945999557152],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
3,0,3,[-0.3861111111111111],[0.2972222222222222],[1],[0],[0],[1.7559878999600187],['target'],3,0,3,0,4.1696789000416175,,10,4.152245200006291,4.1696789000416175,4.1696789000416175,0.04198310000356287,5.908730000024661,[-0.3861111111111111],[0.2972222222222222],[1],[0],[0],[1.7559878999600187],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
4,0,4,[-0.29259259259259257],[0.05092592592592592],[1],[0],[0],[1.0243188000749797],['target'],4,0,4,0,5.966029200004414,,10,5.949737799935974,5.966029200004414,5.966029200004414,0.040802799980156124,6.9745696999598294,[-0.29259259259259257],[0.05092592592592592],[1],[0],[0],[1.0243188000749797],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
5,0,5,[-0.125],[-0.012962962962962963],[1],[0],[0],[1.1472891999874264],['target'],5,0,5,0,7.004980499972589,,5,6.993987299967557,7.004980499972589,7.004980499972589,0.019208600046113133,8.141846299986355,[-0.125],[-0.012962962962962963],[1],[0],[0],[1.1472891999874264],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
6,0,6,[-0.1111111111111111],[-0.1935185185185185],[1],[0],[0],[1.106543599977158],['target'],6,0,6,0,8.177202899940312,,5,8.16568139998708,8.177202899940312,8.177202899940312,0.023549100034870207,9.272807899978943,[-0.1111111111111111],[-0.1935185185185185],[1],[0],[0],[1.106543599977158],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
7,0,7,[0.09259259259259259],[-0.04814814814814815],[1],[0],[0],[1.1428350999485701],['target'],7,0,7,0,9.328865799936466,,10,9.31129670003429,9.328865799936466,9.328865799936466,0.038239600020460784,10.45472429995425,[0.09259259259259259],[-0.04814814814814815],[1],[0],[0],[1.1428350999485701],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
8,0,8,[0.023148148148148147],[0.23333333333333334],[1],[0],[0],[1.177758099976927],['target'],8,0,8,0,10.486014800029807,,5,10.475607299944386,10.486014800029807,10.486014800029807,0.020663399947807193,11.653906299965456,[0.023148148148148147],[0.23333333333333334],[1],[0],[0],[1.177758099976927],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
9,0,9,[0.21296296296296297],[0.42314814814814816],[1],[0],[0],[1.624089900054969],['target'],9,0,9,0,11.71170169999823,,10,11.694081499939784,11.71170169999823,11.71170169999823,0.03996800002641976,13.31867730000522,[0.21296296296296297],[0.42314814814814816],[1],[0],[0],[1.624089900054969],['target'],0004,001,2025-09-30_16h14.05.236,Visual search main code,2024.2.4,60.053784187151095,2025-09-30 16h14.19.665392 +0530,
