pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.8846992999315262,None,0,0,0,0,,,,,0.02066709997598082,,0.015557899954728782,0.02066709997598082,1.00945909996517,1.00945909996517,1.00945909996517,1.00945909996517,1.026060999953188,2.0085954999085516,2.0085954999085516,3.9177570999599993,x,1,1.8846992999315262,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
150,v,1,1,0,v,1,4.547500799992122,None,0,1,1,1,,,,,3.9234720999374986,,3.9185643999371678,3.9234720999374986,4.922674399917014,4.922674399917014,4.922674399917014,4.922674399917014,4.922674399917014,5.921828499995172,5.921828499995172,10.486779699916951,v,1,4.547500799992122,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
50,c,2,2,0,c,1,1.5804420000640675,None,0,2,2,2,,,,,10.501176699995995,,10.48756009992212,10.501176699995995,11.50025669997558,11.50025669997558,11.50025669997558,11.50025669997558,11.50025669997558,12.49938709998969,12.49938709998969,14.083852699957788,c,1,1.5804420000640675,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
-150,z,3,3,0,z,1,1.0256919999374077,None,0,3,3,3,,,,,14.097961399937049,,14.08464469993487,14.097961399937049,15.097119699930772,15.097119699930772,15.097119699930772,15.097119699930772,15.097119699930772,16.09638579993043,16.09638579993043,17.131598399952054,z,1,1.0256919999374077,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
-50,x,4,0,1,x,1,0.8883391000563279,None,1,0,4,0,,,,,17.145623699994758,,17.132303099962883,17.145623699994758,18.144488999969326,18.144488999969326,18.144488999969326,18.144488999969326,18.161086699925363,19.143800299963914,19.143800299963914,20.045355499954894,x,1,0.8883391000563279,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
150,v,5,1,1,v,1,1.0213745000073686,None,1,1,5,1,,,,,20.059647399932146,,20.046143000014126,20.059647399932146,21.058627799968235,21.058627799968235,21.058627799968235,21.058627799968235,21.075348699931055,22.057845799950883,22.057845799950883,23.09264299995266,v,1,1.0213745000073686,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
50,c,6,2,1,c,1,4.581248500035144,None,1,2,6,2,,,,,23.10699120000936,,23.093457799986936,23.10699120000936,24.105756899924017,24.105756899924017,24.105756899924017,24.105756899924017,24.12249689991586,25.105129799921997,25.105129799921997,29.703194999950938,c,1,4.581248500035144,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
-150,z,7,3,1,z,1,0.9072258999804035,None,1,3,7,3,,,,,29.717796299955808,,29.7039559999248,29.717796299955808,30.716896099969745,30.716896099969745,30.716896099969745,30.716896099969745,30.716896099969745,31.716055499971844,31.716055499971844,32.63413329992909,z,1,0.9072258999804035,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
-50,x,8,0,2,x,1,0.835521100088954,None,2,0,8,0,,,,,32.64860630000476,,32.63504899991676,32.64860630000476,33.647532999981195,33.647532999981195,33.647532999981195,33.647532999981195,33.647532999981195,34.64669540000614,34.64669540000614,35.49860669998452,x,1,0.835521100088954,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
150,v,9,1,2,v,1,1.1792107000946999,None,2,1,9,1,,,,,35.51264089997858,,35.49931340001058,35.51264089997858,36.51183209998999,36.51183209998999,36.51183209998999,36.51183209998999,36.51183209998999,37.51095659995917,37.51095659995917,38.69563849992119,v,1,1.1792107000946999,None,,,,,0004,001,2025-10-02_17h20.19.174,Motor Seq Learning main code,2024.2.4,60.064316884776936,2025-10-02 17h20.36.006195 +0530,
