study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
police,0,0,0,1.0296296296296297,2.758499899879098,,,,,,,,,,,,0,0,0,12,,,,,0.07558860001154244,,0.02771309996023774,0.07558860001154244,0.07558860001154244,2.8021705001592636,1.0296296296296297,2.758499899879098,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
book,1,1,0,1.0296296296296297,0.49593230010941625,,,,,,,,,,,,0,1,1,0,,,,,2.8206484999973327,,2.8065832001157105,2.8206484999973327,2.8206484999973327,3.318550700088963,1.0296296296296297,0.49593230010941625,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
tshirt,2,2,0,1.0296296296296297,0.6880928999744356,,,,,,,,,,,,0,2,2,7,,,,,3.3424733001738787,,3.3306818001437932,3.3424733001738787,3.3424733001738787,4.034704999998212,1.0296296296296297,0.6880928999744356,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
poster,3,3,0,1.0296296296296297,0.5125602998305112,,,,,,,,,,,,0,3,3,14,,,,,4.0546875,,4.039990199962631,4.0546875,4.0546875,4.569694800069556,1.0296296296296297,0.5125602998305112,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
laptop,4,4,0,1.0296296296296297,0.9567993001546711,,,,,,,,,,,,0,4,4,5,,,,,4.592709500109777,,4.578905600123107,4.592709500109777,4.592709500109777,5.549758200068027,1.0296296296296297,0.9567993001546711,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
chart,5,5,0,1.0296296296296297,0.7125651000533253,,,,,,,,,,,,0,5,5,6,,,,,5.565950700081885,,5.554304399993271,5.565950700081885,5.565950700081885,6.282634700182825,1.0296296296296297,0.7125651000533253,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
pastry,6,6,0,1.0296296296296297,0.6999023000244051,,,,,,,,,,,,0,6,6,9,,,,,6.300881200004369,,6.289034900022671,6.300881200004369,6.300881200004369,6.999858499970287,1.0296296296296297,0.6999023000244051,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
board,7,7,0,1.0296296296296297,0.5798798999749124,,,,,,,,,,,,0,7,7,4,,,,,7.01803270005621,,7.006628400180489,7.01803270005621,7.01803270005621,7.601350600132719,1.0296296296296297,0.5798798999749124,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
keys,8,8,0,1.0296296296296297,0.7584178999532014,,,,,,,,,,,,0,8,8,13,,,,,7.621602799976245,,7.6068582001607865,7.621602799976245,7.621602799976245,8.380903900135309,1.0296296296296297,0.7584178999532014,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
phone,9,9,0,1.0296296296296297,0.7266515998635441,,,,,,,,,,,,0,9,9,2,,,,,8.398189099971205,,8.387553900014609,8.398189099971205,8.398189099971205,9.131342299981043,1.0296296296296297,0.7266515998635441,,,,,,,,,,,,,,,,0002,001,2025-10-16_11h39.53.341,Word_PrimingExp,2024.2.4,59.927751083369785,2025-10-16 11h40.15.562563 +0530,
