16.9128 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
16.9262 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
19.0970 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC77AE26B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC77AE24D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BC77B9A920>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.0971 	EXP 	window1: backgroundImage = ''
19.0971 	EXP 	window1: backgroundFit = 'none'
19.3122 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.3122 	EXP 	window1: recordFrameIntervals = False
19.4681 	EXP 	window1: recordFrameIntervals = True
19.6515 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
19.6516 	EXP 	window1: recordFrameIntervals = False
24.7840 	INFO 	keyboard.Keyboard is using iohub backend.
24.7842 	INFO 	keyboard.Keyboard is using iohub backend.
24.7842 	EXP 	Delay Discounting Main: status = STARTED
24.7929 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
24.8313 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0247 	EXP 	Imported Delay Discounting file.xlsx as conditions, 100 conditions, 3 params
0.0283 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 67, 'future_reward': 75, 'delay': 118, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1582 	EXP 	text: height = 0.05
0.1582 	EXP 	text: height = 0.05
0.1582 	EXP 	text: height = 0.05
0.1582 	EXP 	text: text = 'GBP 67 today or GBP 75 after 118 days'
0.1582 	EXP 	Fixation: autoDraw = True
1.0149 	INFO 	Keyboard events cleared
1.0144 	EXP 	text: autoDraw = True
1.1642 	EXP 	Fixation: autoDraw = False
4.0104 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 62, 'future_reward': 145, 'delay': 173, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
4.0207 	DATA 	Keypress: t
4.0236 	EXP 	Fixation: autoDraw = False
4.0236 	EXP 	text: autoDraw = False
4.0236 	EXP 	text: height = 0.05
4.0236 	EXP 	text: height = 0.05
4.0236 	EXP 	text: height = 0.05
4.0236 	EXP 	text: text = 'GBP 62 today or GBP 145 after 173 days'
4.0236 	EXP 	Fixation: autoDraw = True
4.8791 	DATA 	Keypress: t
5.0116 	INFO 	Keyboard events cleared
5.0109 	EXP 	text: autoDraw = True
5.0276 	EXP 	Fixation: autoDraw = False
5.3791 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 67, 'future_reward': 177, 'delay': 64, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
5.3861 	DATA 	Keypress: t
5.3938 	EXP 	Fixation: autoDraw = False
5.3938 	EXP 	text: autoDraw = False
5.3938 	EXP 	text: height = 0.05
5.3938 	EXP 	text: height = 0.05
5.3938 	EXP 	text: height = 0.05
5.3938 	EXP 	text: text = 'GBP 67 today or GBP 177 after 64 days'
5.3938 	EXP 	Fixation: autoDraw = True
6.3111 	DATA 	Keypress: t
6.3938 	INFO 	Keyboard events cleared
6.3932 	EXP 	Fixation: autoDraw = False
6.3932 	EXP 	text: autoDraw = True
6.8442 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 34, 'future_reward': 122, 'delay': 81, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
6.8519 	DATA 	Keypress: t
6.8591 	EXP 	Fixation: autoDraw = False
6.8591 	EXP 	text: autoDraw = False
6.8591 	EXP 	text: height = 0.05
6.8591 	EXP 	text: height = 0.05
6.8591 	EXP 	text: height = 0.05
6.8591 	EXP 	text: text = 'GBP 34 today or GBP 122 after 81 days'
6.8591 	EXP 	Fixation: autoDraw = True
7.8591 	INFO 	Keyboard events cleared
7.8585 	EXP 	Fixation: autoDraw = False
7.8585 	EXP 	text: autoDraw = True
8.1599 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 8, 'future_reward': 55, 'delay': 185, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
8.1695 	DATA 	Keypress: t
8.1749 	EXP 	Fixation: autoDraw = False
8.1749 	EXP 	text: autoDraw = False
8.1749 	EXP 	text: height = 0.05
8.1749 	EXP 	text: height = 0.05
8.1749 	EXP 	text: height = 0.05
8.1749 	EXP 	text: text = 'GBP 8 today or GBP 55 after 185 days'
8.1749 	EXP 	Fixation: autoDraw = True
8.8267 	DATA 	Keypress: t
9.1744 	INFO 	Keyboard events cleared
9.1739 	EXP 	Fixation: autoDraw = False
9.1739 	EXP 	text: autoDraw = True
9.1761 	DATA 	Keypress: t
9.2584 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 56, 'future_reward': 125, 'delay': 61, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
9.2738 	EXP 	Fixation: autoDraw = False
9.2738 	EXP 	text: autoDraw = False
9.2738 	EXP 	text: height = 0.05
9.2738 	EXP 	text: height = 0.05
9.2738 	EXP 	text: height = 0.05
