reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,118,0,0,0,t,2.9713415000005625,None,0,0,0,5,0.15822250000201166,,0.1524892000015825,0.15822250000201166,1.014354300001287,1.014354300001287,1.1642351999907987,4.010276499990141,t,2.9713415000005625,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
62,145,173,1,1,0,t,0.3586549999890849,None,0,1,1,29,4.023574699996971,,4.019581000000471,4.023574699996971,5.010909599994193,5.010909599994193,5.027608899996267,5.378935300002922,t,0.3586549999890849,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
67,177,64,2,2,0,t,0.43665769998915493,None,0,2,2,52,5.393808499997249,,5.384712300001411,5.393808499997249,6.393166099995142,6.393166099995142,6.393166099995142,6.844083699994371,t,0.43665769998915493,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
34,122,81,3,3,0,t,0.2913012999924831,None,0,3,3,79,6.859146399991005,,6.850529099989217,6.859146399991005,7.858491699997103,7.858491699997103,7.858491699997103,8.15969449999102,t,0.2913012999924831,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
8,55,185,4,4,0,t,None,None,0,4,4,51,8.174883599989698,,8.167827700002817,8.174883599989698,9.173889700003201,9.173889700003201,9.173889700003201,9.2582468999899,t,None,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
56,125,61,5,5,0,t,0.5490461000008509,None,0,5,5,31,9.27378969998972,,9.26233109999157,9.27378969998972,10.273271099998965,10.273271099998965,10.273271099998965,10.82453969999915,t,0.5490461000008509,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
65,182,44,6,6,0,t,0.13542679999954998,None,0,6,6,66,10.839128999999957,,10.831108500002301,10.839128999999957,11.83850299999176,11.83850299999176,11.83850299999176,11.989979699996184,t,0.13542679999954998,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
48,97,5,7,7,0,t,0.1428135000023758,None,0,7,7,11,12.006297899992205,,12.001312599997618,12.006297899992205,13.003796799996053,13.003796799996053,13.020442499997444,13.155675100002554,t,0.1428135000023758,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
36,89,73,8,8,0,t,0.09384129999671131,None,0,8,8,53,13.17124129999138,,13.165136700001312,13.17124129999138,14.16962319999584,14.16962319999584,14.186392299990985,14.27069720000145,t,0.09384129999671131,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
19,58,10,9,9,0,t,0.1990399000060279,None,0,9,9,48,14.286158899994916,,14.278035399998771,14.286158899994916,15.285258499992779,15.285258499992779,15.285258499992779,15.48622809999506,t,0.1990399000060279,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
23,99,127,10,10,0,l,0.22026950000145007,None,0,10,10,95,15.501812299989979,,15.491091099989717,15.501812299989979,16.500872899996466,16.500872899996466,16.500872899996466,16.73519099999976,l,0.22026950000145007,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
25,131,151,11,11,0,l,0.03684669999347534,None,0,11,11,98,16.75049969999236,,16.739186499995412,16.75049969999236,17.74997920000169,17.74997920000169,17.74997920000169,17.800936300001922,l,0.03684669999347534,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
57,129,146,12,12,0,l,0.17496000000392087,None,0,12,12,55,17.816455599997425,,17.805494100000942,17.816455599997425,18.815732899995055,18.815732899995055,18.83209270000225,18.999878000002354,l,0.17496000000392087,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
18,61,102,13,13,0,l,0.06752850000339095,None,0,13,13,12,19.015151500003412,,19.004737399998703,19.015151500003412,20.01446579999174,20.01446579999174,20.01446579999174,20.098883300001035,l,0.06752850000339095,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
52,118,91,14,14,0,l,0.022999500011792406,None,0,14,14,43,20.11429589999898,,20.103431499999715,20.11429589999898,21.1135074999911,21.1135074999911,21.1135074999911,21.147905299993,l,0.022999500011792406,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
60,152,178,15,15,0,l,0.062203599998611026,None,0,15,15,47,21.163300300002447,,21.152561099996092,21.163300300002447,22.162492199990083,22.162492199990083,22.162492199990083,22.230434899989632,l,0.062203599998611026,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
50,72,189,16,16,0,l,0.03947259999404196,None,0,16,16,9,22.245784099999582,,22.23516820000077,22.245784099999582,23.245085199989262,23.245085199989262,23.245085199989262,23.297154999992927,l,0.03947259999404196,None,0002,001,2025-11-06_22h51.14.294,Delay Discounting Main,2024.2.4,60.006756756374436,2025-11-06 22h51.29.918195 +0530,
